#,Pais,Contagiados,Confirmados,Muertos
0,Algeria,116946,1681,3084
1,Angola,22063,683,533
2,Benin,7100,599,90
3,Botswana,37943,2934,506
4,Burkina_Faso,12692,314,145
5,Burundi,2757,296,0
6,Cameroon,47669,8681,721
7,Cape_Verde,17125,1024,165
8,Central_African_Republic,5087,62,64
9,Chad,4506,197,162
10,Comoros,3690,55,146
11,Congo,9681,352,135
12,Cote_dIvoire,43180,5527,237
13,Democratic_Republic_of_the_Congo,28012,936,739
14,Djibouti,7361,1093,67
15,Egypt,200050,9126,11882
16,Equatorial_Guinea,6914,352,102
17,Eritrea,3208,170,0
18,Eswatini,17321,84,667
19,Ethiopia,200563,25096,2784
20,Gabon,18777,2117,111
21,Gambia,5420,401,164
22,Ghana,90287,2525,740
23,Guinea,19670,1819,120
24,Guinea_Bissau,3634,254,61
25,Kenya,130214,16978,2117
26,Lesotho,10686,156,315
27,Liberia,2053,23,85
28,Libya,157545,12552,2653
29,Madagascar,23585,2229,387
30,Malawi,33481,650,1114
31,Mali,9871,958,379
32,Mauritania,17745,321,448
33,Mauritius,870,179,10
34,Morocco,494659,5722,8798
35,Mozambique,67197,2681,764
36,Namibia,43632,2432,509
37,Niger,4987,127,185
38,Nigeria,162593,1936,2048
39,Rwanda,21419,1233,301
40,Sao_Tome_and_Principe,2212,134,34
41,Senegal,38520,1628,1037
42,Seychelles,4084,569,20
43,Sierra_Leone,3970,33,79
44,Somalia,10676,1486,479
45,South_Africa,1545431,16011,52663
46,South_Sudan,10103,490,108
47,Sudan,31407,418,2028
48,Togo,9955,1772,107
49,Tunisia,251169,9045,8760
50,Uganda,40767,186,335
51,United_Republic_of_Tanzania,509,0,21
52,Western_Sahara,766,0,0
53,Zambia,87872,3075,1200
54,Zimbabwe,36822,338,1520
55,Anguilla,25,0,0
56,Antigua_and_Barbuda,1136,153,28
57,Argentina,2322557,120725,55611
58,Aruba,9294,873,82
59,Bahamas,9076,311,188
60,Barbados,3634,192,41
61,Belize,12411,28,317
62,Bermuda,1136,396,12
63,Bolivia,269628,9569,12186
64,"Bonaire, Saint Eustatius and Saba",1341,537,10
65,Brazil,12573615,1054006,313866
66,British_Virgin_Islands,154,0,0
67,Canada,971715,58668,22900
68,Cayman_Islands,499,25,0
69,Chile,984484,88253,23070
70,Colombia,2389779,83895,63079
71,Costa_Rica,215178,4731,2931
72,Cuba,73204,10998,417
73,BAD DATA,7740,2602,33
74,Dominica,161,0,0
75,Dominican_Republic,252182,5883,3307
76,Ecuador,325124,22626,16746
77,El_Salvador,64431,1900,2006
78,Falkland_Islands_(Malvinas),54,0,0
79,Greenland,31,0,0
80,Grenada,155,0,0
81,Guatemala,193556,10542,6809
82,Guyana,10168,981,227
83,Haiti,12760,91,251
84,Honduras,187015,8090,4557
85,Jamaica,38514,7209,586
86,Mexico,2227842,60113,201826
87,Montserrat,20,0,0
88,Nicaragua,6629,92,177
89,Panama,353839,5684,6100
90,Paraguay,210425,29011,4113
91,Peru,1533121,114147,51635
92,Puerto_Rico,203603,10557,2112
93,Saint_Kitts_and_Nevis,44,0,0
94,Saint_Lucia,4191,138,58
95,Saint_Vincent_and_the_Grenadines,1739,58,10
96,Sint_Maarten,2134,49,27
97,Suriname,9104,76,177
98,Trinidad_and_Tobago,7986,198,142
99,Turks_and_Caicos_islands,2327,94,17
100,United_States_of_America,30331794,836372,550036
101,United_States_Virgin_Islands,2907,140,26
102,Uruguay,99584,26722,928
103,Venezuela,156655,10702,1565
104,Afghanistan,56294,299,2470
105,Bahrain,141332,10331,513
106,Bangladesh,595714,38319,8907
107,Bhutan,872,0,0
108,Brunei_Darussalam,206,14,0
109,Cambodia,2273,948,11
110,China,101676,303,4841
111,India,12039644,654305,161843
112,Indonesia,1496085,76630,40449
113,Iran,1846923,99970,62308
114,Iraq,832428,74244,14212
115,Israel,832012,12025,6194
116,Japan,468614,20708,9061
117,Jordan,582133,105080,6472
118,Kazakhstan,292306,14254,3696
119,Kuwait,228299,18776,1286
