#,P,C,F,M
0,Algeria,124265,11173,3036
1,Angola,21380,573,521
2,Benin,6501,867,81
3,Botswana,35009,6628,447
4,Burkina_Faso,12378,396,144
5,Burundi,2461,252,3
6,Cameroon,38988,3274,588
7,Cape_Verde,16101,701,156
8,Central_African_Republic,5025,28,63
9,Chad,4309,336,154
10,Comoros,3635,64,146
11,Congo,9329,509,131
12,Cote_dIvoire,37653,5022,211
13,Democratic_Republic_of_the_Congo,27076,1163,717
14,Djibouti,6268,202,63
15,Egypt,190924,8500,11300
16,Equatorial_Guinea,6562,467,98
17,Eritrea,3038,191,7
18,Eswatini,17237,223,661
19,Ethiopia,175467,16395,2550
20,Gabon,16660,2096,96
21,Gambia,5019,307,153
22,Ghana,87762,3739,685
23,Guinea,17851,1859,103
24,Guinea_Bissau,3380,133,51
25,Kenya,113236,7263,1913
26,Lesotho,10530,39,309
27,Liberia,2030,20,85
28,Libya,144993,10866,2386
29,Madagascar,21356,1525,326
30,Malawi,32831,886,1083
31,Mali,8913,537,360
32,Mauritania,17424,294,443
33,Mauritius,691,81,10
34,Morocco,488937,5171,8723
35,Mozambique,64516,5166,725
36,Namibia,41200,2355,458
37,Niger,4860,120,182
38,Nigeria,160657,5000,2013
39,Rwanda,20186,1396,280
40,Sao_Tome_and_Principe,2078,292,32
41,Senegal,36892,2372,963
42,Seychelles,3515,897,16
43,Sierra_Leone,3937,50,79
44,Somalia,9190,1933,367
45,South_Africa,1529420,17195,51326
46,South_Sudan,9613,1687,106
47,Sudan,30989,642,1959
48,Togo,8183,1282,96
49,Tunisia,242124,8455,8404
50,Uganda,40581,246,334
51,United_Republic_of_Tanzania,509,0,21
52,Western_Sahara,766,0,1
53,Zambia,84797,6263,1158
54,Zimbabwe,36484,395,1503
55,Anguilla,21,3,0
56,Antigua_and_Barbuda,983,214,27
57,Argentina,2201832,89860,53836
58,Aruba,8421,513,79
59,Bahamas,8765,246,186
60,Barbados,3442,327,38
61,Belize,12383,70,316
62,Bermuda,740,27,12
63,Bolivia,260059,11049,11974
64,"Bonaire, Saint Eustatius and Saba",804,359,6
65,Brazil,11519609,932608,279286
66,British_Virgin_Islands,154,1,1
67,Canada,913047,43014,22495
68,Cayman_Islands,474,27,2
69,Chile,896231,66461,21772
70,Colombia,2305884,50624,61243
71,Costa_Rica,210447,5361,2886
72,Cuba,62206,11616,373
73,BAD DATA,5138,407,22
74,Dominica,157,15,0
75,Dominican_Republic,246299,6301,3226
76,Ecuador,302498,16131,16240
77,El_Salvador,62531,2665,1958
78,Falkland_Islands_(Malvinas),54,3,0
79,Greenland,31,1,0
80,Grenada,154,6,1
81,Guatemala,183014,8361,6578
82,Guyana,9187,602,207
83,Haiti,12669,176,250
84,Honduras,178925,8621,4360
85,Jamaica,31305,7706,492
86,Mexico,2167729,78448,194944
87,Montserrat,20,0,1
88,Nicaragua,6537,48,175
89,Panama,348155,7240,6005
90,Paraguay,181414,20966,3517
91,Peru,1418974,86035,49177
92,Puerto_Rico,193046,10372,2081
93,Saint_Kitts_and_Nevis,43,2,0
94,Saint_Lucia,4053,663,55
95,Saint_Vincent_and_the_Grenadines,1681,53,9
96,Sint_Maarten,2085,25,27
97,Suriname,9028,95,176
98,Trinidad_and_Tobago,7788,75,140
99,Turks_and_Caicos_islands,2233,119,15
100,United_States_of_America,29495422,889761,535661
101,United_States_Virgin_Islands,2767,121,25
102,Uruguay,72862,14273,717
103,Venezuela,145953,6837,1437
104,Afghanistan,55995,236,2460
105,Bahrain,131001,8607,484
106,Bangladesh,557395,11179,8545
107,Bhutan,868,1,1
108,Brunei_Darussalam,192,6,3
109,Cambodia,1325,481,1
110,China,101373,408,4839
111,India,11385339,273098,158725
112,Indonesia,1419455,84821,38426
113,Iran,1746953,115784,61230
114,Iraq,758184,62695,13751
115,Israel,819987,41815,6025
116,Japan,447906,15133,8590
117,Jordan,477053,79895,5346
118,Kazakhstan,278052,15337,3511
119,Kuwait,209523,18671,1172
120,Kyrgyzstan,86850,599,1481
121,Laos,49,4,0
122,Lebanon,418448,43398,5380
123,Malaysia,323763,23011,1210
124,Maldives,21572,1779,64
125,Mongolia,3833,881,4
126,Myanmar,142147,251,3200
127,Nepal,275231,1088,3014
128,Oman,146867,5059,1608
129,Pakistan,607453,26088,13537
130,Palestine,236592,28242,2509
131,Philippines,621498,45146,12829
132,Qatar,170252,6115,266
133,Saudi_Arabia,382407,5024,6567
134,Singapore,60105,169,30
135,South_Korea,96017,5988,1675
136,Sri_Lanka,87907,4665,527
137,Syria,16478,920,1099
138,Taiwan,990,35,10
139,Tajikistan,13308,0,90
140,Thailand,27005,974,87
141,Timor_Leste,196,83,0
142,United_Arab_Emirates,426397,34873,1395
143,Uzbekistan,80247,498,622
144,Vietnam,2554,106,35
145,Yemen,2836,563,689
146,Albania,117474,10307,2045
147,Andorra,11226,337,113
148,Armenia,178702,6486,3265
149,Austria,490671,34559,8669
150,Azerbaijan,240295,5633,3282
151,Belarus,302323,14056,2095
152,Belgium,810909,37842,22544
153,Bosnia_and_Herzegovina,142160,10022,5446
154,Bulgaria,278557,31519,11285
155,Croatia,251174,8110,5685
156,Cyprus,39651,4944,240
157,Czechia,1402420,162369,23379
158,Denmark,221071,9379,2393
159,Estonia,86086,19458,728
160,Faroe_Islands,661,3,1
161,Finland,67334,9270,800
162,France,4071662,315694,90455
163,Georgia,275148,4230,3650
164,Germany,2575849,128781,73418
165,Gibraltar,4263,24,94
166,Greece,221147,30047,7091
167,Guernsey,821,0,14
168,Holy_See,26,0,0
169,Hungary,524196,91271,17083
170,Iceland,6083,29,29
171,Ireland,226741,7149,4534
172,Isle_of_Man,842,358,25
173,Italy,3223142,297877,102145
174,Jersey,3222,5,69
175,Kosovo,77253,8023,1702
176,Latvia,93781,7595,1767
177,Liechtenstein,2692,117,54
178,Lithuania,205644,6246,3410
179,Luxembourg,57877,2452,689
180,Malta,26748,3568,354
181,Moldova,204463,19010,4330
182,Monaco,2107,151,25
183,Montenegro,83693,7860,1129
184,Netherlands,1161197,70141,16067
185,North_Macedonia,112646,9859,3319
186,Norway,80440,9438,640
187,Poland,1917527,205755,47206
188,Portugal,814513,9557,16694
189,Romania,862681,58591,21565
190,Russia,4390608,132958,92090
191,San_Marino,3935,219,76
192,Serbia,516277,57018,4719
193,Slovakia,337960,29035,8605
194,Slovenia,200579,10255,4220
195,Spain,3195062,69395,72424
196,Sweden,722590,56376,13137
197,Switzerland,573815,18975,9434
198,Turkey,2879390,177802,29489
199,Ukraine,1467548,115414,28433
200,United_Kingdom,4258438,81884,125516
201,Australia,29117,147,909
202,Fiji,66,7,2
203,French_Polynesia,18527,140,141
204,Guam,7768,31,133
205,Marshall_Islands,4,0,0
206,Micronesia_(Federated_States_of),0,0,0
207,New_Caledonia,93,35,0
208,New_Zealand,2074,52,26
209,Northern_Mariana_Islands,154,11,2
210,Papua_New_Guinea,1819,544,21
211,Solomon_Islands,18,0,0
212,Vanuatu,3,2,0
213,Wallis_and_Futuna,186,177,0
214,Cases_on_an_international_conveyance_Japan,705,0,6
